Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Sleep,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,Durable,"['Sofa', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,No,More than 5000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Chair']"
Work,Industrial,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'TV', 'Lamp']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Play,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Play,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Minimalist,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Stain-resistant,"['Sofa', 'TV']"
Dining,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Dining,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Traditional,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'Window']"
Sleep,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Work,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Relax,Modern,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Play,Industrial,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Traditional,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Minimalist,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Relax,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'TV']"
Relax,Modern,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Dining,Minimalist,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Relax,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,Durable,"['Sofa', 'TV']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'Table']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Work,Industrial,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Table']"
Relax,Rustic,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'Lamp']"
Dining,Industrial,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Chair']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Dining,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Modern,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Play,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Dining,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Chair']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Chair']"
Relax,Minimalist,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Play,Traditional,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Play,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'Lamp', 'Table']"
Relax,Minimalist,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'TV']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Work,Rustic,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,None,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Modern,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Work,Modern,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Chair']"
Work,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Work,Rustic,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table']"
Relax,Modern,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'TV']"
Play,Rustic,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'TV', 'Table']"
Dining,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Industrial,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Relax,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Chair']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Rustic,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Work,Industrial,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table']"
Play,Industrial,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Modern,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Work,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Relax,Rustic,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table']"
Dining,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Play,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Window']"
Sleep,Industrial,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'Lamp', 'Table']"
Relax,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Play,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Traditional,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Sleep,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Modern,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Play,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,Yes,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Traditional,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Sleep,Modern,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,None,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Traditional,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Work,Modern,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Industrial,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table', 'Table']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Industrial,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,None,"['Sofa', 'Lamp']"
Relax,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Practical,None,"['Sofa', 'TV']"
Relax,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp']"
Dining,Rustic,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Traditional,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Durable,"['Sofa', 'TV', 'Table']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Relax,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp']"
Work,Minimalist,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,None,"['Sofa', 'Table', 'Table']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Play,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'Chair']"
Play,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Dining,Rustic,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Work,Traditional,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Play,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Work,Minimalist,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'Table', 'Table']"
Dining,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Practical,None,"['Sofa', 'TV', 'Lamp']"
Play,Rustic,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'Table']"
Work,Industrial,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Modern,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Modern,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Minimalist,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Work,Traditional,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Dining,Traditional,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Work,Industrial,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Lamp', 'Chair']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Lamp']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Work,Industrial,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'TV']"
Relax,Minimalist,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table']"
Relax,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'TV']"
Play,Traditional,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Play,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Window']"
Dining,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Work,Industrial,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Table']"
Relax,Minimalist,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Modern,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
